Id,survey_date,duration_min,"Do you confirm that you are aged 18 or over, have read the Participant Information Sheet, and agree to take part in this anonymous research study?","Do you understand that your answers are anonymous and that no identifying information (such as your name, email, or IP address) will be collected?",What is your age group,Gender,Are you currently an ATU Student?,"How often do you use AI tools (for example, ChatGPT, Gemini, Copilot, or similar)?",Your Online Activity.I sometimes go online "just for a minute" and end up staying much longer than I intended.,Your Online Activity.I often check social media or messaging apps without really thinking about it.,Your Online Activity.I find it hard to stop scrolling even when I know I should be doing something else.,Your Online Activity.I sometimes post or reply online before I've fully thought through what I want to say.,"Online Feelings.When someone is upset online, it rarely affects me emotionally.",Online Feelings.I don't feel as responsible for other people's feelings when I'm communicating online.,Online Feelings.It's easier for me to ignore someone's feelings in an online conversation than in person.,Online Feelings.I feel less emotionally involved in online conflicts than face-to-face arguments.,Online Norms.It's pretty normal for people to be rude or hostile online.,Online Norms.Swearing or insulting others is just part of online culture.,Online Norms.People should expect harsh comments if they post controversial opinions online.,Online Norms.Calling someone names online isn't a big deal compared to saying it in person.,"Your Sense of Online Anonymity.When I'm online, I feel like people don't really know who I am.",Your Sense of Online Anonymity.I feel more anonymous online than in face-to-face situations.,Your Sense of Online Anonymity.It would be hard for most people to connect my online activity back to me personally.,"Your Sense of Online Anonymity.I feel like I can ""blend in"" online and not stand out as a specific individual.",Online Reactions.Sometimes people deserve a harsh response online if they say something offensive.,"Online Reactions.If someone attacks me online, I feel justified in attacking them back.",Online Reactions.Making fun of someone online is acceptable if they started the argument.,Online Reactions.I can understand why people join in when others gang up on someone online.,Online Reactions.Posting a cutting comment can be a good way to shut down someone who's being annoying.,Online Reactions.I don't feel particularly guilty if I've been harsh to someone online.,Your Trust in AI Tools.I trust AI tools to give me generally accurate information.,Your Trust in AI Tools.I feel comfortable following suggestions made by AI systems.,Your Trust in AI Tools.I believe AI tools are designed with users' best interests in mind.,Your Trust in AI Tools.I am cautious about AI systems and rarely rely on them.,"Your Trust in AI Tools.Overall, I feel AI tools are safe to use.",How You Communicate with AI.I feel more comfortable expressing my true thoughts when I'm interacting with AI.,How You Communicate with AI.I sometimes say things to AI tools that I would not say to another person.,How You Communicate with AI.I feel less judged when I interact with AI than when I talk to people.,How You Communicate with AI.I am more direct or blunt when I'm communicating with or through AI systems.,How You Communicate with AI.Interacting with AI makes it easier to let off steam or vent.,How familiar or comfortable do you feel with the AI tools you use?,How do you see yourself?.I see myself as someone who is outgoing and talkative.,How do you see yourself?.I see myself as someone who is organised and keeps track of details.,How do you see yourself?.I see myself as someone who gets nervous or anxious easily.,How do you see yourself?.I see myself as someone who is sensitive to other people's feelings.,How do you see yourself?.I see myself as someone who enjoys new and unusual ideas.,How likely would you be to respond with a sharp or hostile message in this situation?,How serious do you think this situation is?,Which of the following responses sounds most like what you would do?,"To show that you are paying attention, please select ""Agree."""
11,2026-01-26,306.6,Yes,Yes,25-34,Woman,Yes,Daily,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Agree,Neither Agree Nor Disagree,8.0,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,3.0,6.0,Ignore it and move on.,Agree
12,2026-01-27,9.88,Yes,Yes,25-34,Man,Yes,Several times a week,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Strongly Agree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Disagree,Agree,Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,8.0,Disagree,Neither Agree Nor Disagree,Disagree,Agree,Agree,8.0,3.0,Ignore it and move on.,Agree
13,2026-01-27,4.57,Yes,Yes,18-24,Woman,Yes,About once a week,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Agree,Disagree,Agree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Agree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,5.0,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,10.0,5.0,Reply with a sharp or sarcastic comment.,Agree
14,2026-01-27,5.62,Yes,Yes,18-24,Woman,Yes,Daily,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Agree,8.0,Neither Agree Nor Disagree,Agree,Disagree,Agree,Agree,3.0,5.0,Reply calmly but firmly.,Agree
15,2026-01-27,2.2,Yes,Yes,18-24,Woman,Yes,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neither Agree Nor Disagree,Agree,Strongly agree,Strongly agree,1.0,2.0,Ignore it and move on.,Agree
16,2026-01-27,30.72,Yes,Yes,18-24,Man,Yes,About once a month,Agree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,7.0,Neither Agree Nor Disagree,Agree,Disagree,Neither Agree Nor Disagree,Disagree,1.0,5.0,Ignore it and move on.,Agree
17,2026-01-29,2.07,Yes,Yes,18-24,Woman,Yes,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree Nor Disagree,Strongly agree,Strongly agree,Strongly agree,Neither Agree Nor Disagree,3.0,2.0,Ignore it and move on.,Agree
18,2026-01-29,2.95,Yes,Yes,18-24,Woman,Yes,Less than once a month,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree Nor Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Disagree,Agree,Disagree,Disagree,Agree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,7.0,Agree,Agree,Strongly agree,Agree,Neither Agree Nor Disagree,4.0,6.0,Report or block the person.,Agree
19,2026-01-29,4.47,Yes,Yes,18-24,Woman,Yes,About once a month,Strongly Agree,Strongly Agree,Agree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Strongly Disagree,Agree,Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Strongly Disagree,Agree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,7.0,Agree,Neither Agree Nor Disagree,Strongly agree,Strongly agree,Strongly agree,6.0,3.0,Ignore it and move on.,Agree
20,2026-01-29,4.83,Yes,Yes,18-24,Woman,Yes,Daily,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,8.0,Agree,Agree,Disagree,Agree,Agree,6.0,4.0,Ignore it and move on.,Agree
21,2026-01-29,10.98,Yes,Yes,18-24,Woman,Yes,About once a week,Agree,Agree,Agree,Disagree,Neither Agree Nor Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Neither Agree Nor Disagree,Strongly Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly agree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,4.0,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,9.0,7.0,Report or block the person.,Agree
22,2026-01-29,3.43,Yes,Yes,18-24,Man,Yes,Daily,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,10.0,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,10.0,10.0,Ignore it and move on.,Strongly disagree
23,2026-01-29,14.58,Yes,Yes,18-24,Woman,Yes,Several times a week,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,7.0,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,7.0,9.0,Reply with a sharp or sarcastic comment.,Agree
24,2026-01-29,0.55,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2026-01-29,2.28,Yes,Yes,18-24,Woman,Yes,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Agree,Agree,Neither Agree Nor Disagree,1.0,5.0,Ignore it and move on.,Agree
26,2026-01-29,6.42,Yes,Yes,18-24,Woman,Yes,About once a week,Agree,Agree,Agree,Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Neither Agree Nor Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Neither Agree Nor Disagree,Strongly Disagree,6.0,Disagree,Agree,Agree,Strongly agree,Disagree,3.0,6.0,Reply calmly but firmly.,Agree
27,2026-01-29,9.52,Yes,Yes,18-24,Woman,Yes,Less than once a month,Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Agree,Agree,Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,5.0,Agree,Agree,Agree,Agree,Agree,6.0,5.0,Talk to someone else about it privately.,Agree
28,2026-01-29,4.88,Yes,Yes,18-24,Woman,Yes,Several times a week,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Strongly agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,9.0,Strongly Disagree,Agree,Strongly agree,Neither Agree Nor Disagree,Strongly agree,9.0,2.0,Reply calmly but firmly.,Agree
29,2026-01-29,6.48,Yes,Yes,18-24,Woman,Yes,Daily,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,8.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,6.0,6.0,Ignore it and move on.,Strongly disagree
30,2026-01-29,7.08,Yes,Yes,25-34,Woman,Yes,Daily,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,4.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,5.0,4.0,Reply calmly but firmly.,Strongly disagree
31,2026-01-29,3.73,Yes,Yes,18-24,Woman,Yes,About once a week,Strongly Agree,Strongly Agree,Agree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Strongly Disagree,Strongly Disagree,Agree,Neither Agree Nor Disagree,8.0,Agree,Agree,Disagree,Disagree,Agree,1.0,10.0,Ignore it and move on.,Agree
32,2026-01-29,5.62,Yes,Yes,18-24,Woman,Yes,Several times a week,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Neither Agree Nor Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,8.0,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,6.0,8.0,Reply with a sharp or sarcastic comment.,Agree
33,2026-01-29,2.43,Yes,Yes,25-34,Man,Yes,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Strongly agree,Agree,Strongly agree,3.0,7.0,Talk to someone else about it privately.,Agree
34,2026-01-29,2.97,Yes,Yes,18-24,Non-binary,Yes,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,5.0,4.0,Reply calmly but firmly.,Agree
35,2026-01-29,3.53,Yes,Yes,18-24,Non-binary,Yes,About once a month,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,5.0,Disagree,Strongly Disagree,Agree,Agree,Strongly agree,1.0,1.0,Ignore it and move on.,Agree
36,2026-01-29,3.47,Yes,Yes,18-24,Man,Yes,Several times a week,Agree,Agree,Agree,Neither Agree Nor Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Neither Agree Nor Disagree,Agree,Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Agree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Agree,Disagree,5.0,Agree,Disagree,Disagree,Agree,Agree,4.0,6.0,Ignore it and move on.,Agree
